epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5419,2.08431,4.63354,1.61071,0.01012,1,0.01093,0.00707,1.7361,4.25201,1.3094,0.0001667,0.0001667,0.0001667
2,98.1467,1.58699,2.73001,1.16119,0,0,0,0,1.30525,3.71913,1.13105,0.000346604,0.000346604,0.000346604
3,145.852,1.45247,1.95706,1.15224,0,0,0,0,1.30021,3.5338,1.0702,0.000522878,0.000522878,0.000522878
4,192.717,1.38685,1.68908,1.08436,0,0,0,0,1.03679,3.64186,1.11288,0.000695521,0.000695521,0.000695521
5,240.957,1.31225,1.4428,1.05738,0,0,0,0,1.50454,3.65332,1.25252,0.000864533,0.000864533,0.000864533
6,298.462,1.18449,1.33265,1.04085,0.00298,0.25,0.24826,0.17378,1.21169,3.49058,1.06063,0.00102991,0.00102991,0.00102991
7,349.48,1.19868,1.34358,1.0333,0.00673,0.75,0.74577,0.49712,1.11128,3.25868,1.02757,0.00119166,0.00119166,0.00119166
8,403.261,1.21059,1.29795,1.03952,0.78898,0.97409,0.995,0.55971,1.70124,2.24091,1.28011,0.00134978,0.00134978,0.00134978
9,457.866,1.19119,1.22367,1.05066,0.7924,1,0.995,0.62191,1.3989,1.57207,1.22954,0.00150427,0.00150427,0.00150427
10,515.148,1.18785,1.27237,1.04813,0.683,1,0.995,0.50084,1.72459,1.60831,1.18569,0.00151847,0.00151847,0.00151847
11,570.337,1.13944,1.12091,1.03014,0.82719,1,0.995,0.62189,1.27422,1.26597,1.10245,0.00150197,0.00150197,0.00150197
12,627.219,1.15428,1.0606,1.03758,0.88958,1,0.995,0.57216,1.55203,1.15362,1.32968,0.00148546,0.00148546,0.00148546
13,678.845,1.12714,1.01017,1.03181,0.72118,1,0.995,0.62182,1.58749,1.47525,1.24076,0.00146896,0.00146896,0.00146896
14,739.633,1.16431,1.03962,1.03425,0.95334,1,0.995,0.65921,1.21022,1.16385,0.99789,0.00145246,0.00145246,0.00145246
