epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8962,1.28258,2.97714,1.74747,0.00326,1,0.73488,0.60272,0.51353,3.48785,1.18965,0.00011669,0.00011669,0.00011669
2,93.6029,0.8676,2.4177,1.50331,0.00324,1,0.49612,0.3794,0.59886,3.53258,1.22085,0.000167534,0.000167534,0.000167534
3,134.584,0.8393,2.03364,1.45174,0.00326,1,0.5301,0.1872,0.57611,3.46594,1.17978,0.000130359,0.000130359,0.000130359
