epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,14045.6,1.1522,0.79053,0.98053,0.97152,1,0.995,0.68413,1.16809,0.78948,1.01599,0.000957358,0.000957358,0.000957358
45,14081.8,1.0981,0.75296,0.9792,0.97443,1,0.995,0.67167,1.34525,0.72203,1.04043,0.000940855,0.000940855,0.000940855
46,14113.6,1.04479,0.70974,0.9457,0.95114,1,0.995,0.68412,1.26658,0.77274,0.94157,0.000924352,0.000924352,0.000924352
47,14155.9,0.99398,0.7235,0.93756,0.95746,1,0.995,0.75871,1.12259,0.81489,0.92319,0.000907848,0.000907848,0.000907848
48,14206,1.03035,0.73305,0.94472,0.96759,1,0.995,0.67165,1.19259,0.92074,0.98751,0.000891345,0.000891345,0.000891345
49,14231.4,1.02528,0.71669,0.93064,0.97132,1,0.995,0.67165,1.16346,0.83757,0.97355,0.000874842,0.000874842,0.000874842
50,14276.2,1.01485,0.71016,0.94436,0.9667,1,0.995,0.72352,1.15464,0.78468,0.96672,0.000858338,0.000858338,0.000858338
51,14317.9,1.0069,0.75256,0.95985,0.96379,1,0.995,0.67165,1.16237,0.77142,0.97203,0.000841835,0.000841835,0.000841835
52,14358.7,1.00068,0.71807,0.96527,0.93417,1,0.995,0.67165,1.04506,0.7639,0.94242,0.000825332,0.000825332,0.000825332
53,14384.8,1.00482,0.70804,0.96336,0.9483,1,0.995,0.80845,0.9977,0.7308,0.92023,0.000808828,0.000808828,0.000808828
54,14424.1,1.00649,0.71595,0.95628,0.92744,1,0.995,0.7587,0.96717,0.72355,0.91379,0.000792325,0.000792325,0.000792325
55,14465.6,1.00252,0.67438,0.92875,0.91186,1,0.995,0.75869,0.84721,0.75222,0.91692,0.000775822,0.000775822,0.000775822
56,14506.7,1.02061,0.68231,0.94951,0.91158,1,0.995,0.80844,0.86439,0.71513,0.9216,0.000759318,0.000759318,0.000759318
57,15070.3,0.98901,0.67955,0.95264,0.91668,1,0.995,0.75869,0.97007,0.77218,0.89835,0.000742815,0.000742815,0.000742815
58,15111.2,1.01947,0.69258,0.95,0.95366,1,0.995,0.75869,0.99091,0.67487,0.91117,0.000726312,0.000726312,0.000726312
59,15135.2,0.95839,0.64708,0.9307,0.96647,1,0.995,0.74625,0.99714,0.69299,0.89732,0.000709809,0.000709809,0.000709809
