epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6895,2.08431,4.63354,1.61071,0.01012,1,0.01093,0.00707,1.7361,4.25201,1.3094,0.0001667,0.0001667,0.0001667
2,84.9244,1.58699,2.73001,1.16119,0,0,0,0,1.30525,3.71913,1.13105,0.000346604,0.000346604,0.000346604
3,126.111,1.45247,1.95706,1.15224,0,0,0,0,1.30021,3.5338,1.0702,0.000522878,0.000522878,0.000522878
4,166.981,1.38685,1.68908,1.08436,0,0,0,0,1.03679,3.64186,1.11288,0.000695521,0.000695521,0.000695521
5,209.266,1.31225,1.4428,1.05738,0,0,0,0,1.50454,3.65332,1.25252,0.000864533,0.000864533,0.000864533
6,254.1,1.18449,1.33265,1.04085,0.00298,0.25,0.24826,0.17378,1.21169,3.49058,1.06063,0.00102991,0.00102991,0.00102991
7,296.738,1.19868,1.34358,1.0333,0.00673,0.75,0.74577,0.49712,1.11128,3.25868,1.02757,0.00119166,0.00119166,0.00119166
8,340.745,1.21059,1.29795,1.03952,0.78898,0.97409,0.995,0.55971,1.70124,2.24091,1.28011,0.00134978,0.00134978,0.00134978
9,383.769,1.19119,1.22367,1.05066,0.7924,1,0.995,0.62191,1.3989,1.57207,1.22954,0.00150427,0.00150427,0.00150427
10,426.789,1.18785,1.27237,1.04813,0.683,1,0.995,0.50084,1.72459,1.60831,1.18569,0.00151847,0.00151847,0.00151847
11,471.133,1.13944,1.12091,1.03014,0.82719,1,0.995,0.62189,1.27422,1.26597,1.10245,0.00150197,0.00150197,0.00150197
12,515.628,1.15428,1.0606,1.03758,0.88958,1,0.995,0.57216,1.55203,1.15362,1.32968,0.00148546,0.00148546,0.00148546
13,558.664,1.12714,1.01017,1.03181,0.72118,1,0.995,0.62182,1.58749,1.47525,1.24076,0.00146896,0.00146896,0.00146896
14,601.036,1.16431,1.03962,1.03425,0.95334,1,0.995,0.65921,1.21022,1.16385,0.99789,0.00145246,0.00145246,0.00145246
15,732.431,1.12865,0.9701,1.0303,0.82105,1,0.995,0.64675,1.45691,1.14552,1.1041,0.00143595,0.00143595,0.00143595
16,775.447,1.12858,0.98575,1.02679,0.92429,1,0.995,0.60946,1.57177,1.13407,1.15816,0.00141945,0.00141945,0.00141945
17,817.785,1.0866,0.90473,1.00717,0.8558,1,0.995,0.57217,1.35882,1.25501,1.25336,0.00140295,0.00140295,0.00140295
18,861.063,1.04902,0.88687,1.00231,0.8701,1,0.995,0.53487,1.40357,1.14532,1.16383,0.00138644,0.00138644,0.00138644
19,903.546,1.07599,0.87558,0.98799,0.91297,1,0.995,0.64675,1.3599,0.96307,1.17271,0.00136994,0.00136994,0.00136994
20,945.929,1.08375,0.86426,1.0126,0.97015,1,0.995,0.60695,1.55061,0.92759,1.34427,0.00135344,0.00135344,0.00135344
21,988.128,1.05823,0.81658,0.9934,0.92779,1,0.995,0.56383,1.41871,0.95636,1.26442,0.00133693,0.00133693,0.00133693
22,1029.49,1.13088,0.85035,1.03442,0.92163,1,0.995,0.60363,1.57045,0.99104,1.11137,0.00132043,0.00132043,0.00132043
23,1070.8,1.07718,0.83101,1.01554,0.74723,1,0.995,0.62603,1.46111,1.05265,1.32348,0.00130393,0.00130393,0.00130393
24,1112.49,1.00779,0.77125,0.97853,0.94868,1,0.995,0.55167,1.50619,0.92534,1.26113,0.00128742,0.00128742,0.00128742
25,1156.62,1.0054,0.75486,0.99013,0.96667,1,0.995,0.56281,1.66877,0.95044,1.28461,0.00127092,0.00127092,0.00127092
26,1204.12,0.99208,0.75095,0.98933,0.91411,1,0.995,0.6418,1.39318,0.76837,1.12598,0.00125442,0.00125442,0.00125442
27,15652.8,0.99207,0.75435,0.96394,0.95836,1,0.995,0.592,1.63483,0.91729,1.08344,0.00123791,0.00123791,0.00123791
28,15710.3,0.99318,0.72767,0.99462,0.85403,1,0.995,0.60054,1.50267,0.92118,1.04607,0.00122141,0.00122141,0.00122141
29,15759.6,1.01706,0.71725,0.98974,0.94114,1,0.995,0.77134,1.26819,0.74842,1.08772,0.00120491,0.00120491,0.00120491
30,15813.9,0.93695,0.67737,0.94554,0.95486,1,0.995,0.8955,0.82664,0.72894,0.91067,0.0011884,0.0011884,0.0011884
31,15867.7,0.92005,0.68817,0.96065,0.96704,1,0.995,0.80864,0.88646,0.61008,0.89948,0.0011719,0.0011719,0.0011719
32,15930.6,1.00883,0.7026,0.98725,0.97123,1,0.995,0.75916,1.02056,0.63163,0.9655,0.0011554,0.0011554,0.0011554
33,15985.2,0.99094,0.71616,0.9928,0.93575,1,0.995,0.75926,0.93334,0.73606,0.89255,0.00113889,0.00113889,0.00113889
34,16042.3,1.01509,0.69683,0.98001,0.96377,1,0.995,0.76004,1.01695,0.7459,0.85983,0.00112239,0.00112239,0.00112239
35,16094.4,0.99251,0.67552,0.966,0.97118,1,0.995,0.84575,0.90143,0.65243,0.88838,0.00110589,0.00110589,0.00110589
36,16148.7,0.98176,0.67355,0.96197,0.94592,1,0.995,0.80944,0.89685,0.65856,0.89953,0.00108938,0.00108938,0.00108938
37,16210.4,0.99812,0.66962,0.96567,0.97288,1,0.995,0.70994,1.13507,0.63251,0.94666,0.00107288,0.00107288,0.00107288
38,16260.8,0.93786,0.61818,0.95538,0.93824,1,0.995,0.7107,1.03881,0.68055,0.89905,0.00105638,0.00105638,0.00105638
39,16322,0.94701,0.62743,0.95453,0.95846,1,0.995,0.72408,1.12344,0.62706,0.91887,0.00103987,0.00103987,0.00103987
40,16385.2,0.97711,0.62634,0.98792,0.91412,1,0.995,0.72259,1.16403,0.71022,0.935,0.00102337,0.00102337,0.00102337
41,16442.5,0.95222,0.61251,0.9801,0.93025,1,0.995,0.66004,1.15617,0.65622,0.89042,0.00100687,0.00100687,0.00100687
