epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4536,2.33371,4.70614,1.74796,0,0,0,0,2.33051,4.46931,1.87834,8.335e-05,8.335e-05,8.335e-05
2,54.4244,2.02149,3.97689,1.4387,0.01002,1,0.01069,0.00322,2.24242,4.4241,1.58497,0.000122858,0.000122858,0.000122858
3,80.6833,1.78684,3.13034,1.22825,0.00658,0.5,0.00706,0.00518,1.47693,3.98091,1.17917,9.63526e-05,9.63526e-05,9.63526e-05
