epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.051,2.08431,4.63354,1.61071,0.01012,1,0.01093,0.00707,1.7361,4.25201,1.3094,0.0001667,0.0001667,0.0001667
2,105.166,1.58699,2.73001,1.16119,0,0,0,0,1.30525,3.71913,1.13105,0.000346604,0.000346604,0.000346604
3,151.667,1.45247,1.95706,1.15224,0,0,0,0,1.30021,3.5338,1.0702,0.000522878,0.000522878,0.000522878
4,198.511,1.38685,1.68908,1.08436,0,0,0,0,1.03679,3.64186,1.11288,0.000695521,0.000695521,0.000695521
5,245.623,1.31225,1.4428,1.05738,0,0,0,0,1.50454,3.65332,1.25252,0.000864533,0.000864533,0.000864533
6,292.72,1.18449,1.33265,1.04085,0.00298,0.25,0.24826,0.17378,1.21169,3.49058,1.06063,0.00102991,0.00102991,0.00102991
7,576.304,1.19868,1.34358,1.0333,0.00673,0.75,0.74577,0.49712,1.11128,3.25868,1.02757,0.00119166,0.00119166,0.00119166
